Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,0.47,0.47,0.44,0.44,15100,0.44
2016-07-08,0.47,0.49,0.44,0.48,13600,0.48
2016-07-07,0.46,0.47,0.42,0.46,21600,0.46
2016-07-06,0.49,0.50,0.40,0.45,78200,0.45
2016-07-05,0.43,0.54,0.43,0.46,159200,0.46
2016-07-01,0.42,0.43,0.40,0.43,20300,0.43
2016-06-30,0.42,0.43,0.42,0.42,27900,0.42
2016-06-29,0.41,0.44,0.39,0.42,26600,0.42
2016-06-28,0.41,0.44,0.39,0.39,60700,0.39
2016-06-27,0.39,0.42,0.39,0.40,36400,0.40
2016-06-24,0.40,0.45,0.40,0.42,40300,0.42
2016-06-23,0.40,0.46,0.39,0.41,229500,0.41
2016-06-22,0.40,0.45,0.38,0.39,102500,0.39
2016-06-21,0.42,0.47,0.38,0.40,82900,0.40
2016-06-20,0.55,0.57,0.40,0.43,359300,0.43
2016-06-17,0.55,0.58,0.55,0.55,87100,0.55
2016-06-16,0.55,0.59,0.55,0.58,12000,0.58
2016-06-15,0.57,0.61,0.55,0.58,25200,0.58
2016-06-14,0.55,0.61,0.55,0.61,29800,0.61
2016-06-13,0.57,0.57,0.55,0.55,15600,0.55
2016-06-10,0.58,0.58,0.55,0.57,4300,0.57
2016-06-09,0.59,0.59,0.55,0.57,15500,0.57
2016-06-08,0.51,0.58,0.51,0.58,48400,0.58
2016-06-07,0.56,0.56,0.51,0.52,59200,0.52
2016-06-06,0.57,0.57,0.55,0.55,11700,0.55
2016-06-03,0.56,0.57,0.50,0.57,55800,0.57
2016-06-02,0.56,0.57,0.55,0.55,9900,0.55
2016-06-01,0.55,0.59,0.55,0.55,34700,0.55
2016-05-31,0.60,0.60,0.55,0.55,64800,0.55
2016-05-27,0.56,0.59,0.56,0.59,12900,0.59
2016-05-26,0.58,0.60,0.55,0.55,38500,0.55
2016-05-25,0.55,0.61,0.55,0.56,18100,0.56
2016-05-24,0.61,0.61,0.55,0.58,53700,0.58
2016-05-23,0.63,0.63,0.55,0.58,44400,0.58
2016-05-20,0.58,0.65,0.56,0.61,75400,0.61
2016-05-19,0.57,0.63,0.55,0.56,65400,0.56
2016-05-18,0.54,0.56,0.50,0.54,96500,0.54
2016-05-17,0.55,0.60,0.53,0.54,115900,0.54
2016-05-16,0.64,0.65,0.53,0.57,206300,0.57
2016-05-13,0.63,0.70,0.63,0.63,50300,0.63
2016-05-12,0.70,0.70,0.63,0.68,58600,0.68
2016-05-11,0.73,0.77,0.70,0.70,67800,0.70
2016-05-10,0.75,0.80,0.75,0.77,22900,0.77
2016-05-09,0.94,0.94,0.74,0.77,191700,0.77
2016-05-06,0.93,0.94,0.90,0.91,43400,0.91
2016-05-05,1.04,1.04,1.00,1.00,4400,1.00
2016-05-04,1.01,1.01,0.97,0.98,32300,0.98
2016-05-03,1.08,1.08,0.89,0.97,30300,0.97
2016-05-02,1.00,1.09,1.00,1.05,50000,1.05
2016-04-29,1.00,1.03,1.00,1.00,42900,1.00
2016-04-28,1.05,1.05,1.00,1.01,60600,1.01
2016-04-27,1.13,1.18,1.02,1.04,48400,1.04
2016-04-26,1.09,1.11,1.08,1.10,27000,1.10
2016-04-25,1.15,1.20,1.08,1.09,21400,1.09
2016-04-22,1.18,1.18,1.15,1.16,9500,1.16
2016-04-21,1.20,1.20,1.18,1.18,13500,1.18
2016-04-20,1.23,1.25,1.18,1.18,36100,1.18
2016-04-19,1.23,1.25,1.23,1.23,23300,1.23
2016-04-18,1.28,1.28,1.24,1.24,15000,1.24
2016-04-15,1.24,1.28,1.24,1.24,14400,1.24
2016-04-14,1.26,1.28,1.24,1.27,6200,1.27
2016-04-13,1.26,1.26,1.23,1.23,29900,1.23
2016-04-12,1.29,1.29,1.20,1.27,3900,1.27
2016-04-11,1.28,1.28,1.24,1.26,5200,1.26
2016-04-08,1.27,1.29,1.24,1.29,19200,1.29
2016-04-07,1.22,1.24,1.22,1.24,16000,1.24
2016-04-06,1.24,1.24,1.21,1.21,900,1.21
2016-04-05,1.18,1.24,1.18,1.20,37400,1.20
2016-04-04,1.04,1.20,1.02,1.18,6600,1.18
2016-04-01,1.19,1.23,1.14,1.14,11300,1.14
2016-03-31,1.08,1.23,1.08,1.17,12900,1.17
2016-03-30,1.07,1.22,1.07,1.16,6900,1.16
2016-03-29,1.14,1.22,1.14,1.16,27900,1.16
2016-03-28,1.20,1.20,1.10,1.12,20700,1.12
2016-03-24,1.20,1.20,1.13,1.15,19900,1.15
2016-03-23,1.19,1.19,1.18,1.18,10700,1.18
2016-03-22,1.19,1.20,1.17,1.19,8100,1.19
2016-03-21,1.23,1.25,1.19,1.20,12000,1.20
2016-03-18,1.25,1.25,1.19,1.19,10100,1.19
2016-03-17,1.26,1.26,1.19,1.23,5700,1.23
2016-03-16,1.17,1.20,1.17,1.19,2800,1.19
2016-03-15,1.16,1.25,1.16,1.18,12900,1.18
2016-03-14,1.25,1.25,1.17,1.19,7100,1.19
2016-03-11,1.21,1.28,1.18,1.20,20000,1.20
2016-03-10,1.22,1.22,1.15,1.20,4200,1.20
2016-03-09,1.24,1.24,1.17,1.17,33200,1.17
2016-03-08,1.19,1.24,1.16,1.20,21000,1.20
2016-03-07,1.26,1.26,1.19,1.19,17500,1.19
2016-03-04,1.24,1.31,1.19,1.21,35900,1.21
2016-03-03,1.33,1.37,1.24,1.24,14500,1.24
2016-03-02,1.38,1.38,1.29,1.34,2800,1.34
2016-03-01,1.33,1.36,1.26,1.36,2200,1.36
2016-02-29,1.31,1.36,1.29,1.34,2600,1.34
2016-02-26,1.21,1.36,1.21,1.32,2300,1.32
2016-02-25,1.27,1.38,1.25,1.27,15800,1.27
2016-02-24,1.26,1.33,1.23,1.27,4200,1.27
2016-02-23,1.36,1.36,1.29,1.29,3200,1.29
2016-02-22,1.32,1.33,1.29,1.29,5000,1.29
2016-02-19,1.29,1.35,1.29,1.30,2400,1.30
2016-02-18,1.30,1.30,1.21,1.29,7600,1.29
2016-02-17,1.45,1.45,1.23,1.29,16800,1.29
2016-02-16,1.29,1.30,1.29,1.30,1600,1.30
2016-02-12,1.37,1.37,1.26,1.26,6500,1.26
2016-02-11,1.37,1.37,1.29,1.29,17000,1.29
2016-02-10,1.45,1.45,1.31,1.32,2800,1.32
2016-02-09,1.40,1.51,1.31,1.31,54500,1.31
2016-02-08,1.49,1.67,1.44,1.44,65500,1.44
2016-02-05,1.41,1.68,1.36,1.54,133100,1.54
2016-02-04,1.48,1.48,1.42,1.42,2200,1.42
2016-02-03,1.41,1.48,1.34,1.44,19000,1.44
2016-02-02,1.38,1.49,1.31,1.36,33900,1.36
2016-02-01,1.25,1.41,1.20,1.36,12500,1.36
2016-01-29,1.21,1.26,1.19,1.19,14900,1.19
2016-01-28,1.22,1.27,1.22,1.23,10800,1.23
2016-01-27,1.27,1.27,1.20,1.26,28600,1.26
2016-01-26,1.23,1.25,1.20,1.21,31300,1.21
2016-01-25,1.22,1.25,1.21,1.21,58100,1.21
